,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,rikitea,pf,-23.1203,-134.9692,67.71,58,71,11.97
1,tomar,pt,39.6037,-8.4151,62.02,86,0,12.5
2,leopold,au,-38.1834,144.4667,60.08,61,16,13.98
3,upernavik,gl,72.7868,-56.1549,44.46,96,100,15.95
4,saskylakh,ru,71.965,114.0939,74.55,32,99,12.91
5,georgetown,sh,-7.9334,-14.4167,74.34,72,49,13.6
6,turan,ru,52.1458,93.9186,66.92,68,99,2.95
7,ringas,in,27.3662,75.5676,97.16,36,38,6.38
8,atuona,pf,-9.8,-139.0334,80.35,69,71,8.68
9,ushuaia,ar,-54.807,-68.3074,34.66,87,100,2.71
10,yellowknife,ca,62.4541,-114.3774,56.12,48,89,3.74
12,sangar,ru,63.9236,127.4668,70.16,30,7,10.31
13,puerto ayora,ec,-0.7394,-90.3518,67.91,86,35,6.91
15,dikson,ru,73.5069,80.5464,42.69,81,93,17.87
16,buta,cd,2.7933,24.7287,72.82,97,100,1.48
18,castro,cl,-42.4824,-73.7644,36.75,93,38,4.18
19,bluff,nz,-46.6,168.3333,49.3,87,100,13.35
20,albany,au,-35.0248,117.8836,55.76,70,66,15.97
21,port macquarie,au,-31.43,152.9104,65.98,48,0,5.06
22,san luis,mx,32.487,-114.7822,86.07,35,0,7.16
25,hithadhoo,mv,-0.6,73.0833,82.65,78,100,16.87
26,tommot,ru,58.9685,126.2669,67.78,35,23,7.2
27,alofi,nu,-19.0596,-169.9187,76.75,85,22,13.94
28,uruzgan,af,32.9278,66.6325,88.38,15,0,5.91
29,new norfolk,au,-42.7802,147.0615,55.11,64,65,4.41
31,bredasdorp,za,-34.5331,20.0428,43.81,80,50,2.82
32,vaini,to,-21.2001,-175.2,76.32,86,33,13.49
33,salinas,ec,0.4945,-78.1307,51.69,80,0,6.33
34,tahoua,ne,14.8899,5.2621,83.8,55,99,15.05
35,hun,ly,29.1268,15.9477,77.29,54,0,9.31
36,luau,ao,-10.7073,22.2247,62.17,44,25,4.56
37,mitsamiouli,km,-11.3848,43.2844,70.23,64,0,10.18
38,poso,id,-1.4012,120.7496,75.74,62,28,4.85
39,lesnyye polyany,ru,55.9667,37.8667,62.31,82,100,9.71
40,yulara,au,-25.2411,130.9869,85.78,14,0,23.04
41,huarmey,pe,-10.0688,-78.1522,61.77,89,8,12.55
42,oriximina,br,-1.7656,-55.8662,76.06,75,7,4.18
43,lorengau,pg,-2.0226,147.2712,81.36,82,48,10.71
44,bambous virieux,mu,-20.3428,57.7575,75.49,68,13,15.93
45,kapaa,us,22.0752,-159.319,75.45,85,44,9.35
46,bathsheba,bb,13.2167,-59.5167,80.28,78,3,15.99
47,rantepao,id,-2.9687,119.8991,75.67,61,9,5.1
48,ghanzi,bw,-21.699,21.6452,46.83,27,0,4.09
49,prince rupert,ca,54.3161,-130.3202,57.63,86,98,3.24
50,visby,se,57.6379,18.298,59.5,84,11,11.48
51,iqaluit,ca,63.7494,-68.5219,38.73,78,96,14.61
52,butaritari,ki,3.0707,172.7902,85.71,67,45,8.95
53,yarada,in,17.65,83.2667,89.85,72,100,10.29
55,constantine,dz,36.3645,6.6083,74.95,35,0,3.11
56,egvekinot,ru,66.3167,-179.1667,42.76,90,100,13.24
57,kavaratti,in,10.5669,72.642,82.33,78,100,25.26
58,arraial do cabo,br,-22.9663,-42.0245,65.8,74,79,19.75
59,worland,us,44.0168,-107.9558,63.61,44,10,18.81
60,longyearbyen,sj,78.2186,15.6401,44.46,78,98,3.4
61,canutama,br,-6.5331,-64.3835,73.4,68,43,1.72
62,kunjah,pk,32.53,73.9742,95.4,34,0,6.53
63,punta arenas,cl,-53.1627,-70.9081,32.58,78,100,5.37
64,qaanaaq,gl,77.484,-69.3633,39.52,90,100,8.57
65,thinadhoo,mv,0.5333,72.9333,83.59,77,54,15.05
67,katsuura,jp,33.9258,134.505,81.7,65,100,3.71
68,nyurba,ru,63.2866,118.3541,70.34,34,0,6.82
69,lexington park,us,38.2642,-76.4532,79.68,70,0,7.16
70,champerico,gt,14.3,-91.9167,75.13,84,55,4.38
71,taltal,cl,-25.408,-70.4859,50.32,77,0,2.13
72,kalmunai,lk,7.4167,81.8167,99.46,39,91,15.59
73,mar del plata,ar,-46.4276,-67.5191,34.45,62,30,18.9
74,rawson,ar,-43.2992,-65.1057,36.28,56,0,10.47
75,jamestown,sh,-15.9388,-5.7168,68.4,82,0,11.27
76,puerto baquerizo moreno,ec,-0.9,-89.6,68.61,82,100,6.62
78,bontang,id,0.1237,117.4717,95.86,46,41,5.46
79,gorele,tr,41.0308,39.0031,81.01,63,0,5.39
80,praia da vitoria,pt,38.7333,-27.0667,70.77,91,0,12.1
81,kalevala,ru,65.2,31.1667,66.24,52,100,3.78
82,mahebourg,mu,-20.4081,57.7,75.54,68,13,15.93
83,chizhou,cn,30.6671,117.486,92.52,60,36,5.53
84,pisco,pe,-13.71,-76.203,58.75,89,3,21.74
85,bilibino,ru,68.055,166.4449,42.08,60,94,4.38
86,souillac,mu,-20.5167,57.5167,75.54,68,13,15.93
87,port alfred,za,-33.5906,26.891,46.9,80,88,18.01
88,khatanga,ru,71.9801,102.4743,82.47,32,71,12.33
89,soyaux,fr,45.6413,0.1932,63.01,88,41,4.36
90,saldanha,za,-33.0117,17.9442,45.1,63,17,19.62
91,sinjar,iq,36.3209,41.8754,102.34,23,0,8.14
92,sao paulo de olivenca,br,-3.3784,-68.8725,70.02,98,72,0.98
93,havoysund,no,70.9963,24.6622,61.66,75,9,6.49
94,midland,us,31.9974,-102.078,82.02,38,0,18.54
95,sumbe,ao,-11.202,13.8397,69.19,88,25,9.22
96,hirara,jp,24.8,125.2833,87.12,82,100,21.09
98,kirakira,sb,-10.4569,161.9202,78.26,84,43,17.25
99,busselton,au,-33.6445,115.3489,58.24,72,74,22.84
100,ganta,lr,7.3104,-8.5393,69.55,99,100,3.27
101,hilo,us,19.7072,-155.0817,70.95,64,9,17.76
102,cherskiy,ru,68.75,161.3,44.85,57,100,7.58
103,college,us,64.8569,-147.8028,60.53,60,49,5.39
104,hobyo,so,5.3505,48.5268,91.98,44,33,23.73
106,linxia,cn,35.5959,103.2108,78.94,42,0,5.86
107,provideniya,ru,64.4238,-173.2276,48.92,86,97,8.46
108,storforshei,no,66.4043,14.5233,61.3,71,41,1.77
109,cidreira,br,-30.1658,-50.2184,58.64,82,64,5.53
110,plettenberg bay,za,-34.0528,23.3716,46.4,80,94,8.39
111,bandarbeyla,so,9.4942,50.8122,91.47,41,91,34.02
112,raudeberg,no,61.9875,5.1352,55.65,80,71,5.44
113,mount gambier,au,-37.8302,140.7843,62.42,64,0,21.7
114,marshall,us,39.3914,-87.6937,76.3,95,0,9.75
116,husavik,is,66.0449,-17.3389,47.48,98,99,5.26
117,northam,au,-31.6536,116.6727,58.1,62,8,15.12
118,norman wells,ca,65.2824,-126.8328,60.66,71,30,2.53
119,sola,vu,-13.8834,167.55,79.88,82,54,20.07
120,nikolskoye,ru,59.7035,30.7861,62.22,92,99,5.17
122,mizdah,ly,31.4451,12.9801,71.78,64,0,7.74
123,constitucion,mx,23.9912,-104.675,61.92,82,100,10.04
124,manica,mz,-18.9368,32.876,66.81,33,0,2.55
125,denpasar,id,-8.65,115.2167,82.72,68,42,11.32
126,nola,cf,3.5224,16.0536,70.88,92,78,1.86
127,namibe,ao,-15.1902,12.1531,68.07,85,0,3.87
128,saint george,bm,32.3817,-64.6781,81.82,80,0,12.66
129,barrow,us,39.5062,-90.4016,79.38,79,0,8.05
